,Вакансия,Оплата_min,Оплата_max,Валюта,Сылка на вакансию,Источник
0,Программист Python / Python Developer (удаленно),60.0,100.0,руб.,https://krasnodar.hh.ru/vacancy/48247232?from=vacancy_search_list&query=Python,https://hh.ru
1,Программист Python/Java,60.0,,руб.,https://krasnodar.hh.ru/vacancy/43244378?from=vacancy_search_list&query=Python,https://hh.ru
2,Python developer (Middle),250.0,300.0,руб.,https://krasnodar.hh.ru/vacancy/48091972?from=vacancy_search_list&query=Python,https://hh.ru
3,Программист Python,2.0,4.0,USD,https://krasnodar.hh.ru/vacancy/48445225?from=vacancy_search_list&query=Python,https://hh.ru
4,Python developer,60.0,100.0,грн.,https://krasnodar.hh.ru/vacancy/47695148?from=vacancy_search_list&query=Python,https://hh.ru
5,Разработчик Python,100.0,200.0,руб.,https://krasnodar.hh.ru/vacancy/47891343?from=vacancy_search_list&query=Python,https://hh.ru
6,Python-разработчик,70.0,,руб.,https://krasnodar.hh.ru/vacancy/48404948?from=vacancy_search_list&query=Python,https://hh.ru
7,Middle Python Engineer (Remote),150.0,210.0,руб.,https://krasnodar.hh.ru/vacancy/45870757?from=vacancy_search_list&query=Python,https://hh.ru
8,Backend-разработчик / Python developer (умные дома),100.0,200.0,руб.,https://krasnodar.hh.ru/vacancy/48380601?from=vacancy_search_list&query=Python,https://hh.ru
9,Программист Python Backend,,300.0,руб.,https://krasnodar.hh.ru/vacancy/48259518?from=vacancy_search_list&query=Python,https://hh.ru
10,Python Back-end Developer,,,,https://krasnodar.hh.ru/vacancy/48441816?from=vacancy_search_list&query=Python,https://hh.ru
11,Python разработчик (back-end),500.0,600.0,KZT,https://krasnodar.hh.ru/vacancy/48326487?from=vacancy_search_list&query=Python,https://hh.ru
12,Middle Python Developer,100.0,200.0,руб.,https://krasnodar.hh.ru/vacancy/48045471?from=vacancy_search_list&query=Python,https://hh.ru
13,"Разработчик-Python (Django, DRF)",170.0,220.0,руб.,https://krasnodar.hh.ru/vacancy/43242292?from=vacancy_search_list&query=Python,https://hh.ru
14,Back-end Developer(Python),100.0,,руб.,https://krasnodar.hh.ru/vacancy/47709707?from=vacancy_search_list&query=Python,https://hh.ru
15,"Технический лид автоматических тестов GUI (Python, Squish)",4.0,,USD,https://krasnodar.hh.ru/vacancy/45657026?from=vacancy_search_list&query=Python,https://hh.ru
16,Python-разработчик,130.0,,руб.,https://krasnodar.hh.ru/vacancy/46412760?from=vacancy_search_list&query=Python,https://hh.ru
17,Python разработчик (удаленно),120.0,,руб.,https://krasnodar.hh.ru/vacancy/47971499?from=vacancy_search_list&query=Python,https://hh.ru
18,Python-developer,90.0,190.0,руб.,https://krasnodar.hh.ru/vacancy/47546326?from=vacancy_search_list&query=Python,https://hh.ru
19,Разработчик Python/Django,90.0,150.0,руб.,https://krasnodar.hh.ru/vacancy/48429405?from=vacancy_search_list&query=Python,https://hh.ru
20,Исследователь-разработчик на Python | Яндекс.Толока,,,,https://krasnodar.hh.ru/vacancy/47448619?from=vacancy_search_list&query=Python,https://hh.ru
21,Ведущий Python-developer,220.0,340.0,руб.,https://krasnodar.hh.ru/vacancy/46690447?from=vacancy_search_list&query=Python,https://hh.ru
22,"Старший Backend-разработчик (Python, Django)",4.0,5.0,USD,https://krasnodar.hh.ru/vacancy/47975443?from=vacancy_search_list&query=Python,https://hh.ru
23,Backend разработчик на python,80.0,,руб.,https://krasnodar.hh.ru/vacancy/47765869?from=vacancy_search_list&query=Python,https://hh.ru
24,Senior QA Automation Engineer (Python),300.0,,руб.,https://krasnodar.hh.ru/vacancy/43394109?from=vacancy_search_list&query=Python,https://hh.ru
25,Python-разработчик (Middle),,220.0,руб.,https://krasnodar.hh.ru/vacancy/48258223?from=vacancy_search_list&query=Python,https://hh.ru
26,Python developer,160.0,,руб.,https://krasnodar.hh.ru/vacancy/48240457?from=vacancy_search_list&query=Python,https://hh.ru
27,Junior Data Scientist,40.0,80.0,руб.,https://krasnodar.hh.ru/vacancy/47866317?from=vacancy_search_list&query=Python,https://hh.ru
28,Python-разработчик,130.0,,руб.,https://krasnodar.hh.ru/vacancy/46412759?from=vacancy_search_list&query=Python,https://hh.ru
29,Python Developer,,,,https://krasnodar.hh.ru/vacancy/44655490?from=vacancy_search_list&query=Python,https://hh.ru
30,Веб-программист Python middle,90.0,250.0,руб.,https://krasnodar.hh.ru/vacancy/48345716?from=vacancy_search_list&query=Python,https://hh.ru
31,Разработчик Python,,,,https://krasnodar.hh.ru/vacancy/47380767?from=vacancy_search_list&query=Python,https://hh.ru
32,Python Developer/Разработчик Python,90.0,100.0,руб.,https://krasnodar.hh.ru/vacancy/47769681?from=vacancy_search_list&query=Python,https://hh.ru
33,Data Scientist,,300.0,руб.,https://krasnodar.hh.ru/vacancy/45191074?from=vacancy_search_list&query=Python,https://hh.ru
34,Python Backend Developer / WEB - разработчик,185.0,,руб.,https://krasnodar.hh.ru/vacancy/46123925?from=vacancy_search_list&query=Python,https://hh.ru
35,Python Developer,,,,https://krasnodar.hh.ru/vacancy/40612238?from=vacancy_search_list&query=Python,https://hh.ru
36,Senior QA Automation Engineer (Python),300.0,,руб.,https://krasnodar.hh.ru/vacancy/45114743?from=vacancy_search_list&query=Python,https://hh.ru
37,Data Scientist,60.0,200.0,руб.,https://krasnodar.hh.ru/vacancy/48279098?from=vacancy_search_list&query=Python,https://hh.ru
38,Python разработчик (middle +),120.0,180.0,руб.,https://krasnodar.hh.ru/vacancy/48107880?from=vacancy_search_list&query=Python,https://hh.ru
39,"Разработчик Python, VBA, Google Apps",,,,https://krasnodar.hh.ru/vacancy/48326337?from=vacancy_search_list&query=Python,https://hh.ru
40,Python Developer,,,,https://krasnodar.hh.ru/vacancy/44269577?from=vacancy_search_list&query=Python,https://hh.ru
